dataset	output_file	output_exists	line	protein_or_file	normalized_protein_key	printed_forward_mutations	pickle_v3_mutation_count	count_match	trace_text
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	590	1kfwA.pdb	1kfwa	2	2	True	Took 5.6580727100372314 for 1kfwA.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	619	1h7mA.pdb	1h7ma	26	26	True	Took 42.38123559951782 for 1h7mA.pdb with 26 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	636	1ceyA.pdb	1ceya	14	14	True	Took 22.890717267990112 for 1ceyA.pdb with 14 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	675	1fkjA.pdb	1fkja	36	36	True	Took 58.65737771987915 for 1fkjA.pdb with 36 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	695	1dktA.pdb	1dkta	17	17	True	Took 27.50486707687378 for 1dktA.pdb with 17 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	700	1iroA.pdb	1iroa	2	2	True	Took 3.2672877311706543 for 1iroA.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	705	1jiwI.pdb	1jiwi	2	2	True	Took 3.352199077606201 for 1jiwI.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	710	1kcqA.pdb	1kcqa	2	2	True	Took 3.3974790573120117 for 1kcqA.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	739	1cunA.pdb	1cuna	26	26	True	Took 48.37265682220459 for 1cunA.pdb with 26 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	744	1cahA.pdb	1caha	2	2	True	Took 4.331804990768433 for 1cahA.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	752	1ihbA.pdb	1ihba	5	5	True	Took 8.310346126556396 for 1ihbA.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	767	1btaA.pdb	1btaa	12	12	True	Took 19.581891298294067 for 1btaA.pdb with 12 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	880	1lz1A.pdb	1lz1a	110	110	True	Took 180.39556622505188 for 1lz1A.pdb with 110 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	924	1bvcA.pdb	1bvca	41	41	True	Took 67.18688082695007 for 1bvcA.pdb with 41 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	932	1fvkA.pdb	1fvka	5	5	True	Took 8.857877016067505 for 1fvkA.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	943	1imqA.pdb	1imqa	8	8	True	Took 13.008796691894531 for 1imqA.pdb with 8 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	955	1mjcA.pdb	1mjca	9	9	True	Took 14.740966796875 for 1mjcA.pdb with 9 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	963	1io2A.pdb	1io2a	5	5	True	Took 9.356758117675781 for 1io2A.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	967	1g6nA.pdb	1g6na	1	1	True	Took 1.8475744724273682 for 1g6nA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	971	1ietA.pdb	1ieta	1	1	True	Took 1.7794630527496338 for 1ietA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	995	1cspA.pdb	1cspa	21	21	True	Took 34.024340867996216 for 1cspA.pdb with 21 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1013	1igvA.pdb	1igva	15	15	True	Took 24.34002685546875 for 1igvA.pdb with 15 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1041	1hmkA.pdb	1hmka	25	25	True	Took 40.820247650146484 for 1hmkA.pdb with 25 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1071	1ftgA.pdb	1ftga	27	27	True	Took 45.25393986701965 for 1ftgA.pdb with 27 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1077	1hmeA.pdb	1hmea	3	3	True	Took 4.8961968421936035 for 1hmeA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1123	1lniA.pdb	1lnia	43	43	True	Took 69.95296955108643 for 1lniA.pdb with 43 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1140	1ifcA.pdb	1ifca	14	14	True	Took 22.94863772392273 for 1ifcA.pdb with 14 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1164	1e65A.pdb	1e65a	21	21	True	Took 34.28581142425537 for 1e65A.pdb with 21 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1649	1ey0A.pdb	1ey0a	482	482	True	Took 787.8806433677673 for 1ey0A.pdb with 482 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1669	1hmsA.pdb	1hmsa	17	17	True	Took 28.090557098388672 for 1hmsA.pdb with 17 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1681	1g4iA.pdb	1g4ia	9	9	True	Took 14.741694688796997 for 1g4iA.pdb with 9 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1685	1lbiA.pdb	1lbia	1	1	True	Took 2.3180148601531982 for 1lbiA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1693	1huuA.pdb	1huua	5	5	True	Took 8.177252769470215 for 1huuA.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1718	1hfzA.pdb	1hfza	22	22	True	Took 35.918813705444336 for 1hfzA.pdb with 22 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1724	1chkA.pdb	1chka	3	3	True	Took 6.1653733253479 for 1chkA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1728	1kdxA.pdb	1kdxa	1	1	True	Took 1.6709108352661133 for 1kdxA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1734	1mbgA.pdb	1mbga	3	3	True	Took 4.801833391189575 for 1mbgA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1771	1fnaA.pdb	1fnaa	34	34	True	Took 55.44082689285278 for 1fnaA.pdb with 34 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1776	1lucB.pdb	1lucb	2	2	True	Took 4.825377702713013 for 1lucB.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1782	1oncA.pdb	1onca	3	3	True	Took 4.938238143920898 for 1oncA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1788	4rexA.pdb	4rexa	3	3	True	Took 4.798138380050659 for 4rexA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1792	2hprA.pdb	2hpra	1	1	True	Took 1.6837882995605469 for 2hprA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1839	1wq5A.pdb	1wq5a	44	44	True	Took 90.54147505760193 for 1wq5A.pdb with 44 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1917	2ci2I.pdb	2ci2i	75	75	True	Took 121.72456860542297 for 2ci2I.pdb with 75 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1923	3fvjA.pdb	3fvja	3	3	True	Took 4.8660218715667725 for 3fvjA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1947	5ptiA.pdb	5ptia	21	21	True	Took 33.94199538230896 for 5ptiA.pdb with 21 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1964	2nvhA.pdb	2nvha	14	14	True	Took 23.106229305267334 for 2nvhA.pdb with 14 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	1974	1oiaA.pdb	1oiaa	7	7	True	Took 11.336938858032227 for 1oiaA.pdb with 7 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2034	4lyzA.pdb	4lyza	57	57	True	Took 92.97305941581726 for 4lyzA.pdb with 57 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2074	1rtbA.pdb	1rtba	37	37	True	Took 60.69499349594116 for 1rtbA.pdb with 37 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2094	1rg8A.pdb	1rg8a	17	17	True	Took 28.113197565078735 for 1rg8A.pdb with 17 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2098	1witA.pdb	1wita	1	1	True	Took 1.6524467468261719 for 1witA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2113	1pgaA.pdb	1pgaa	12	12	True	Took 19.342100620269775 for 1pgaA.pdb with 12 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2186	2rn2A.pdb	2rn2a	70	70	True	Took 115.3323802947998 for 2rn2A.pdb with 70 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2192	1n0jA.pdb	1n0ja	3	3	True	Took 5.477360486984253 for 1n0jA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2223	1tenA.pdb	1tena	28	28	True	Took 45.87547063827515 for 1tenA.pdb with 28 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2227	1rtpA.pdb	1rtpa	1	1	True	Took 1.6976854801177979 for 1rtpA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2250	1ropA.pdb	1ropa	20	20	True	Took 32.53200387954712 for 1ropA.pdb with 20 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2254	1qgvA.pdb	1qgva	1	1	True	Took 1.6880264282226562 for 1qgvA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2294	1yyjA.pdb	1yyja	37	37	True	Took 60.31075310707092 for 1yyjA.pdb with 37 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2303	1tpkA.pdb	1tpka	6	6	True	Took 9.80897068977356 for 1tpkA.pdb with 6 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2308	1zg4A.pdb	1zg4a	2	2	True	Took 4.227853775024414 for 1zg4A.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2316	2h61A.pdb	2h61a	5	5	True	Took 8.17680811882019 for 2h61A.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2320	1yu5X.pdb	1yu5x	1	1	True	Took 1.6510932445526123 for 1yu5X.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2329	1msiA.pdb	1msia	6	6	True	Took 9.686505794525146 for 1msiA.pdb with 6 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2334	3silA.pdb	3sila	2	2	True	Took 5.25879979133606 for 3silA.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2427	1vqbA.pdb	1vqba	90	90	True	Took 146.73400115966797 for 1vqbA.pdb with 90 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2459	2abdA.pdb	2abda	29	29	True	Took 47.198941707611084 for 2abdA.pdb with 29 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2470	2a36A.pdb	2a36a	8	8	True	Took 13.093565464019775 for 2a36A.pdb with 8 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2484	1ubqA.pdb	1ubqa	11	11	True	Took 17.92071223258972 for 1ubqA.pdb with 11 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2532	1uzcA.pdb	1uzca	45	45	True	Took 73.54542827606201 for 1uzcA.pdb with 45 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2571	1shfA.pdb	1shfa	36	36	True	Took 58.300901889801025 for 1shfA.pdb with 36 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2580	1tyvA.pdb	1tyva	6	6	True	Took 19.994556427001953 for 1tyvA.pdb with 6 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2591	1znjB.pdb	1znjb	8	8	True	Took 12.934893608093262 for 1znjB.pdb with 8 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2596	2driA.pdb	2dria	2	2	True	Took 4.274686098098755 for 2driA.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2607	1titA.pdb	1tita	8	8	True	Took 13.088839054107666 for 1titA.pdb with 8 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2653	1qlpA.pdb	1qlpa	43	43	True	Took 110.77991008758545 for 1qlpA.pdb with 43 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2666	3olmD.pdb	3olmd	10	10	True	Took 16.401719570159912 for 3olmD.pdb with 10 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2682	1pohA.pdb	1poha	13	13	True	Took 21.32178807258606 for 1pohA.pdb with 13 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2704	3ssiA.pdb	3ssia	19	19	True	Took 31.25177264213562 for 3ssiA.pdb with 19 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2717	3hhrA.pdb	3hhra	10	10	True	Took 17.49658203125 for 3hhrA.pdb with 10 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2724	3ecaA.pdb	3ecaa	4	4	True	Took 9.945501565933228 for 3ecaA.pdb with 4 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2728	1ssoA.pdb	1ssoa	1	1	True	Took 1.6401653289794922 for 1ssoA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2736	2ocjA.pdb	2ocja	5	5	True	Took 8.96227502822876 for 2ocjA.pdb with 5 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2755	1risA.pdb	1risa	16	16	True	Took 26.167723417282104 for 1risA.pdb with 16 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2766	1ttqA.pdb	1ttqa	8	8	True	Took 16.442962646484375 for 1ttqA.pdb with 8 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2773	4br1A.pdb	4br1a	4	4	True	Took 7.806412935256958 for 4br1A.pdb with 4 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2878	5dfrA.pdb	5dfra	102	102	True	Took 169.64493131637573 for 5dfrA.pdb with 102 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2882	1qndA.pdb	1qnda	1	1	True	Took 1.6641192436218262 for 1qndA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2886	4v2fA.pdb	4v2fa	1	1	True	Took 1.8484385013580322 for 4v2fA.pdb with 1 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2899	5croA.pdb	5croa	10	10	True	Took 16.420308828353882 for 5croA.pdb with 10 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2905	1pdoA.pdb	1pdoa	3	3	True	Took 4.963194131851196 for 1pdoA.pdb with 3 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2910	2ts1A.pdb	2ts1a	2	2	True	Took 4.852951526641846 for 2ts1A.pdb with 2 forward-mutations
S_2648	colab_notebooks_inventory_analysis/notebook_outputs/ProteinMPNNTesting_V6_V2.ipynb.outputs.txt	True	2923	1rhgA.pdb	1rhga	10	10	True	Took 16.808805465698242 for 1rhgA.pdb with 10 forward-mutations
