notebook	mention_type	mention	cell_index
ProteinMPNNTesting_V2.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V3.ipynb	dataset	PremPS	
ProteinMPNNTesting_V3.ipynb	dataset	S2648	
ProteinMPNNTesting_V3.ipynb	dataset	S_2648	
ProteinMPNNTesting_V3.ipynb	dataset	S_921	
ProteinMPNNTesting_V3.ipynb	dataset	Ssym	
ProteinMPNNTesting_V3.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V3.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V3.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_921_pssm_dir	
ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V4.ipynb	dataset	PremPS	
ProteinMPNNTesting_V4.ipynb	dataset	S2648	
ProteinMPNNTesting_V4.ipynb	dataset	S_2648	
ProteinMPNNTesting_V4.ipynb	dataset	Ssym	
ProteinMPNNTesting_V4.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V4.ipynb	artifact	dat.xlsx	
ProteinMPNNTesting_V4.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V4.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V4.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V5.ipynb	dataset	PremPS	
ProteinMPNNTesting_V5.ipynb	dataset	S2648	
ProteinMPNNTesting_V5.ipynb	dataset	S_2648	
ProteinMPNNTesting_V5.ipynb	dataset	Ssym	
ProteinMPNNTesting_V5.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V5.ipynb	artifact	dat.xlsx	
ProteinMPNNTesting_V5.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V5.ipynb	artifact	res_dict.pickle	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V5.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V6.ipynb	dataset	PremPS	
ProteinMPNNTesting_V6.ipynb	dataset	S2648	
ProteinMPNNTesting_V6.ipynb	dataset	S_2648	
ProteinMPNNTesting_V6.ipynb	dataset	S_921	
ProteinMPNNTesting_V6.ipynb	dataset	Ssym	
ProteinMPNNTesting_V6.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V6.ipynb	artifact	S_2648_pmppn_info_dict.pickle	
ProteinMPNNTesting_V6.ipynb	artifact	S_921_pmppn_info_dict.pickle	
ProteinMPNNTesting_V6.ipynb	artifact	dat.xlsx	
ProteinMPNNTesting_V6.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V6.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V6_V2.ipynb	dataset	PremPS	
ProteinMPNNTesting_V6_V2.ipynb	dataset	S2648	
ProteinMPNNTesting_V6_V2.ipynb	dataset	S_2648	
ProteinMPNNTesting_V6_V2.ipynb	dataset	Ssym	
ProteinMPNNTesting_V6_V2.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V6_V2.ipynb	artifact	S_2648_pmppn_info_dict_V2.pickle	
ProteinMPNNTesting_V6_V2.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V6_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V6_V2_debug.ipynb	dataset	PremPS	
ProteinMPNNTesting_V6_V2_debug.ipynb	dataset	S2648	
ProteinMPNNTesting_V6_V2_debug.ipynb	dataset	S_2648	
ProteinMPNNTesting_V6_V2_debug.ipynb	dataset	S_921	
ProteinMPNNTesting_V6_V2_debug.ipynb	dataset	Ssym	
ProteinMPNNTesting_V6_V2_debug.ipynb	artifact	1rtpA.pdb	
ProteinMPNNTesting_V6_V2_debug.ipynb	artifact	S_2648_pmppn_info_dict.pickle	
ProteinMPNNTesting_V6_V2_debug.ipynb	artifact	S_2648_pmppn_info_dict_V2.pickle	
ProteinMPNNTesting_V6_V2_debug.ipynb	artifact	S_921_full_feature_dict.pickle	
ProteinMPNNTesting_V6_V2_debug.ipynb	artifact	dat.xlsx	
ProteinMPNNTesting_V6_V2_debug.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
ProteinMPNNTesting_V6_V2_debug.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V6_V2_debug.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V6_V2_debug.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V6_V2_debug.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V6_V2_debug.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V6_V2_debug.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
ProteinMPNNTesting_V7.ipynb	dataset	S_2648	
ProteinMPNNTesting_V7.ipynb	dataset	Ssym	
ProteinMPNNTesting_V7.ipynb	artifact	S_2648_pmppn_info_dict.pickle	
ProteinMPNNTesting_V7.ipynb	artifact	dat.xlsx	
ProteinMPNNTesting_V7.ipynb	hardcoded_path	/content/drive	
ProteinMPNNTesting_V7.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
ProteinMPNNTesting_V7.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_pssm_dir	
ProteinMPNNTesting_V7.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
ProteinMPNNTesting_V7.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
ProteinMPNNTesting_V7.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
PyRun_Notebook_V16 (1).ipynb	dataset	PremPS	
PyRun_Notebook_V16 (1).ipynb	dataset	S2648	
PyRun_Notebook_V16 (1).ipynb	dataset	S_2648	
PyRun_Notebook_V16 (1).ipynb	dataset	S_669	
PyRun_Notebook_V16 (1).ipynb	dataset	premPS	
PyRun_Notebook_V16 (1).ipynb	dataset	s669	
PyRun_Notebook_V16 (1).ipynb	artifact	ChainId).pdb	
PyRun_Notebook_V16 (1).ipynb	artifact	Data_s669_with_predictions.csv	
PyRun_Notebook_V16 (1).ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
PyRun_Notebook_V16 (1).ipynb	artifact	residue_to_property_mapping.pickle	
PyRun_Notebook_V16 (1).ipynb	artifact	so can use the filenames directly as keys after removing .pdb	
PyRun_Notebook_V16 (1).ipynb	hardcoded_path	/content/drive	
PyRun_Notebook_V16 (1).ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup	
PyRun_Notebook_V16 (1).ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Utility_Scripts	
PyRun_Notebook_V16 (1).ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
PyRun_Notebook_V16 (1).ipynb	hardcoded_path	/content/drive/MyDrive/PyRosetta_Files/PyRosetta4.Release.python37.linux.release-312/setup	
PyRun_Notebook_V16.ipynb	dataset	PremPS	
PyRun_Notebook_V16.ipynb	dataset	S2648	
PyRun_Notebook_V16.ipynb	dataset	S_2648	
PyRun_Notebook_V16.ipynb	dataset	S_669	
PyRun_Notebook_V16.ipynb	dataset	premPS	
PyRun_Notebook_V16.ipynb	dataset	s669	
PyRun_Notebook_V16.ipynb	artifact	ChainId).pdb	
PyRun_Notebook_V16.ipynb	artifact	Data_s669_with_predictions.csv	
PyRun_Notebook_V16.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
PyRun_Notebook_V16.ipynb	artifact	residue_to_property_mapping.pickle	
PyRun_Notebook_V16.ipynb	artifact	so can use the filenames directly as keys after removing .pdb	
PyRun_Notebook_V16.ipynb	hardcoded_path	/content/drive	
PyRun_Notebook_V16.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup	
PyRun_Notebook_V16.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Utility_Scripts	
PyRun_Notebook_V16.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
PyRun_Notebook_V16.ipynb	hardcoded_path	/content/drive/MyDrive/PyRosetta_Files/PyRosetta4.Release.python37.linux.release-312/setup	
PyRun_Notebook_V16_new_colab.ipynb	dataset	PremPS	
PyRun_Notebook_V16_new_colab.ipynb	dataset	S2648	
PyRun_Notebook_V16_new_colab.ipynb	dataset	S_2648	
PyRun_Notebook_V16_new_colab.ipynb	dataset	S_669	
PyRun_Notebook_V16_new_colab.ipynb	dataset	premPS	
PyRun_Notebook_V16_new_colab.ipynb	dataset	s669	
PyRun_Notebook_V16_new_colab.ipynb	artifact	ChainId).pdb	
PyRun_Notebook_V16_new_colab.ipynb	artifact	Data_s669_with_predictions.csv	
PyRun_Notebook_V16_new_colab.ipynb	artifact	https://raw.githubusercontent.com/SajidAhmeduiu/PremPS/main/Datasets/S2648/S2648.txt	
PyRun_Notebook_V16_new_colab.ipynb	artifact	residue_to_property_mapping.pickle	
PyRun_Notebook_V16_new_colab.ipynb	artifact	so can use the filenames directly as keys after removing .pdb	
PyRun_Notebook_V16_new_colab.ipynb	hardcoded_path	/content/drive	
PyRun_Notebook_V16_new_colab.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup	
PyRun_Notebook_V16_new_colab.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Utility_Scripts	
PyRun_Notebook_V16_new_colab.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
PyRun_Notebook_V16_new_colab.ipynb	hardcoded_path	/content/drive/MyDrive/PyRosetta_Files/PyRosetta4.Release.python37.linux.release-312/setup	
Quick_Dirty_MPNN_ML.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML.ipynb	artifact	S_2648_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML.ipynb	artifact	S_669_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML.ipynb	artifact	S_921_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML.ipynb	artifact	Ssym_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_2648_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_669_feature_combo_model_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_669_feature_combo_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_669_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	S_921_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	Ssym_full_feature_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	feature_combo_model_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	artifact	feature_combo_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S2648	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S669	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S921	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_2648_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_feature_combo_model_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_feature_combo_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	S_921_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	Ssym_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	feature_combo_model_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	artifact	feature_combo_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML_V2_V2.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	Feature-Feature_Correlation.png	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	incremental_feature_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	artifact	list_incremental_feature_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML_V2_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_2648	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_669	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	S_921	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	dataset	Ssym	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	Feature-Feature_Correlation.png	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_2648_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_669_pmppn_info_dict_V2.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_669_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	S_921_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	Ssym_pmppn_info_dict_V3.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	incremental_feature_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	artifact	list_incremental_feature_result_dict.pickle	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	hardcoded_path	/content/drive	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/{name}_PDB_Files	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
Quick_Dirty_MPNN_ML_V2_VGRAPHS_V1.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
S669_ProteinMPNNTesting_V3.ipynb	dataset	PremPS	
S669_ProteinMPNNTesting_V3.ipynb	dataset	S_2648	
S669_ProteinMPNNTesting_V3.ipynb	dataset	S_669	
S669_ProteinMPNNTesting_V3.ipynb	dataset	Ssym	
S669_ProteinMPNNTesting_V3.ipynb	dataset	s669	
S669_ProteinMPNNTesting_V3.ipynb	artifact	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv	
S669_ProteinMPNNTesting_V3.ipynb	artifact	1rtpA.pdb	
S669_ProteinMPNNTesting_V3.ipynb	artifact	res_dict.pickle	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/Data_s669_with_predictions.csv	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_2648_PDB_Files	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_PDB_Files	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/ACCRE_PyRun_Setup/S_669_pssm_dir	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Colab_Installations_V2	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging	
S669_ProteinMPNNTesting_V3.ipynb	hardcoded_path	/content/drive/MyDrive/Protein_MPNN_Digging/ProteinMPNN/vanilla_proteinmpnn	
S669_ProteinMPNNTesting_V6.ipynb	dataset	PremPS	
S669_ProteinMPNNTesting_V6.ipynb	dataset	S_2648	
S669_ProteinMPNNTesting_V6.ipynb	dataset	S_669	
S669_ProteinMPNNTesting_V6.ipynb	dataset	Ssym	
S669_ProteinMPNNTesting_V6.ipynb	dataset	s669	
