relative_path	basename	extension	size_bytes	mtime_epoch	mtime_utc	sha256	artifact_class	dataset_hint	role_hint	git_tracked_now	recommended_storage_route	storage_reason	dependency_reference_count	active_or_text_reference_count	commented_reference_count	note_or_generated_reference_count	current_recovery_code_reference_count	historical_notebook_reference_count
ProteinMPNN/.git/hooks/prepare-commit-msg.sample	prepare-commit-msg.sample	.sample	1492	1659027923.366000	2022-07-28T17:05:23.366000+00:00	e9ddcaa4189fddd25ed97fc8c789eca7b6ca16390b2392ae3276f0c8e1aa4619	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/hooks/update.sample	update.sample	.sample	3610	1659027923.352000	2022-07-28T17:05:23.352000+00:00	751c037320024ec2ee2757f3ffae0b10ad2c946367684e7059d4dc97eac7e431	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/index	index		18476	1778071436.505820	2026-05-06T12:43:56.505820+00:00	cccf33b5a40ab46d52dee8b437334e7dbd15a6300a6c0ee366aec3c4f67b9f69	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/info/exclude	exclude		240	1659027923.426000	2022-07-28T17:05:23.426000+00:00	6671fe83b7a07c8932ee89164d1f2793b2318058eb8b98dc5c06ee0a5a3b0ec1	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/logs/HEAD	HEAD		187	1659027930.555000	2022-07-28T17:05:30.555000+00:00	b7f84492ec6358a8863e90db6ba4f661e7dbb6febee3cc67e7d9406f3282aa9e	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/logs/refs/heads/main	main		187	1659027930.564000	2022-07-28T17:05:30.564000+00:00	b7f84492ec6358a8863e90db6ba4f661e7dbb6febee3cc67e7d9406f3282aa9e	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/logs/refs/remotes/origin/HEAD	HEAD		187	1659027930.509000	2022-07-28T17:05:30.509000+00:00	b7f84492ec6358a8863e90db6ba4f661e7dbb6febee3cc67e7d9406f3282aa9e	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/objects/pack/pack-f26fd0719e65f4546fe57ec9a63caa4bc20239fe.idx	pack-f26fd0719e65f4546fe57ec9a63caa4bc20239fe.idx	.idx	11656	1659027930.436000	2022-07-28T17:05:30.436000+00:00	8e52a0ba1628e240d86a23705c6101f4042b0366a91d133cdb412025bb092256	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/objects/pack/pack-f26fd0719e65f4546fe57ec9a63caa4bc20239fe.pack	pack-f26fd0719e65f4546fe57ec9a63caa4bc20239fe.pack	.pack	69459008	1659027930.431000	2022-07-28T17:05:30.431000+00:00	9fef7ccf5c0996500e32523e92df594b4ca9be678e17a791f427eebca448f5fb	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/packed-refs	packed-refs		187	1659027930.481000	2022-07-28T17:05:30.481000+00:00	404f08d58bc2d37fc189adeb0f368059de8b54273942c9867c41cfd6acbf04c1	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/refs/heads/main	main		41	1659027930.569000	2022-07-28T17:05:30.569000+00:00	14a16dd4817ee97127e71e9dfc8f656707842c151af5d2498cb58d4ececc48c9	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.git/refs/remotes/origin/HEAD	HEAD		30	1659027930.519000	2022-07-28T17:05:30.519000+00:00	2bb6a24aa0fc6c484100f5d51a29bbad841cd2c755f5d93faa204e5dbb4eb2b4	nested_proteinmpnn_git_history		Nested ProteinMPNN Git metadata preserved by the copied evidence tree.	no	preserve_as_evidence_archive_not_regular_git	Do not track a nested .git directory directly inside the workspace repo; preserve via bundle/archive or documented source commit.	0	0	0	0	0	0
ProteinMPNN/.gitignore	.gitignore		1799	1659027930.666000	2022-07-28T17:05:30.666000+00:00	79b6f8054f8ef5e9e78c18174bf57caf29b11410166b9268d6923e87520eb88f	uncategorized_small_artifact		Small artifact requiring role assignment.	no	decide_after_dependency_review	Small size alone is not enough; track only if it supports evidence, reproducibility, or maintained code.	0	0	0	0	0	0
ProteinMPNN/LICENSE	LICENSE		1072	1659027930.672000	2022-07-28T17:05:30.672000+00:00	82009d25ce585631f452b2b24589bdb29c559ccfefa2f200ef312ed5b501a586	uncategorized_small_artifact		Small artifact requiring role assignment.	no	decide_after_dependency_review	Small size alone is not enough; track only if it supports evidence, reproducibility, or maintained code.	0	0	0	0	0	0
ProteinMPNN/README.md	README.md	.md	9013	1659027930.676000	2022-07-28T17:05:30.676000+00:00	2af737564085e56a1b2fc9450aa02e1d13998af8ba21f2e22f67317608345533	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_2_outputs/assigned_pdbs.jsonl	assigned_pdbs.jsonl	.jsonl	74	1659027930.690000	2022-07-28T17:05:30.690000+00:00	b652a15b5e48cc3c8184905f543ebe8efa5665fd5803ad22d4f187f479da5f43	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_2_outputs/parsed_pdbs.jsonl	parsed_pdbs.jsonl	.jsonl	33482	1659027930.696000	2022-07-28T17:05:30.696000+00:00	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_2_outputs/seqs/3HTN.fa	3HTN.fa	.fa	1057	1659027930.705000	2022-07-28T17:05:30.705000+00:00	a9ec4e0daf2178351d1e8a3bf9ee33a453020c727edf694d74dd0ef3e81a786e	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_2_outputs/seqs/4YOW.fa	4YOW.fa	.fa	907	1659027930.710000	2022-07-28T17:05:30.710000+00:00	a35d5d8bdad244dfb7db6d30fe95a7f1f84a4a62dc1926b6292cfc97b8ceb126	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_3_outputs/seqs/3HTN.fa	3HTN.fa	.fa	1057	1659027930.720000	2022-07-28T17:05:30.720000+00:00	2ee418e85c5bf4dce7b11d181d271a3ded99c585d2b36613c83a680cd50a8fab	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_4_outputs/assigned_pdbs.jsonl	assigned_pdbs.jsonl	.jsonl	74	1659027930.728000	2022-07-28T17:05:30.728000+00:00	197714ea3e9318ec0cb4d0c70ac3141a3916a14966336d3f171119cb9e251efa	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_4_outputs/fixed_pdbs.jsonl	fixed_pdbs.jsonl	.jsonl	254	1659027930.734000	2022-07-28T17:05:30.734000+00:00	427f1d62ff8eda89708b121d7cdbd92da0b925e134e4a883b0368bf61455b931	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_4_outputs/parsed_pdbs.jsonl	parsed_pdbs.jsonl	.jsonl	33482	1659027930.739000	2022-07-28T17:05:30.739000+00:00	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_4_outputs/seqs/3HTN.fa	3HTN.fa	.fa	1057	1659027930.754000	2022-07-28T17:05:30.754000+00:00	03e494a99e925f2008f27f01d144fc5a0c417a69fd20005f8db164f8fc92fbf7	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_4_outputs/seqs/4YOW.fa	4YOW.fa	.fa	1576	1659027930.759000	2022-07-28T17:05:30.759000+00:00	2d8330d6247277c26ada12e2048033cf7c8ce4ad78086b488cdb44c887cc5771	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_5_outputs/assigned_pdbs.jsonl	assigned_pdbs.jsonl	.jsonl	74	1659027930.821000	2022-07-28T17:05:30.821000+00:00	197714ea3e9318ec0cb4d0c70ac3141a3916a14966336d3f171119cb9e251efa	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_5_outputs/fixed_pdbs.jsonl	fixed_pdbs.jsonl	.jsonl	260	1659027930.831000	2022-07-28T17:05:30.831000+00:00	735353ec26d63b787db64d4aab74afcc1a427ee2f30dff59c01417c1b2c114f2	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_5_outputs/parsed_pdbs.jsonl	parsed_pdbs.jsonl	.jsonl	33482	1659027930.840000	2022-07-28T17:05:30.840000+00:00	4cbad00843ac296a1489974234dfc94463b88b88ab0e6e5ae8f1e13b54c84581	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_5_outputs/seqs/3HTN.fa	3HTN.fa	.fa	1057	1659027930.850000	2022-07-28T17:05:30.850000+00:00	7568d06d0ecf670513a8dc791b6c833c75f9555be3b2946ee70023c88617a40a	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_5_outputs/seqs/4YOW.fa	4YOW.fa	.fa	1576	1659027930.856000	2022-07-28T17:05:30.856000+00:00	9113293dc1520e56ad63052b544f1259a1e5e481542b9e58d3b6c1f01e50f612	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/example_5_outputs/tied_pdbs.jsonl	tied_pdbs.jsonl	.jsonl	373	1659027930.861000	2022-07-28T17:05:30.861000+00:00	7ddc7078feaab55326399636464beec317652c97b94fa01bceb22d3174731b73	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/pdbs/3HTN.pdb	3HTN.pdb	.pdb	424440	1659027930.869000	2022-07-28T17:05:30.869000+00:00	1c206fecb1646ead026d44f06715890cb9c844dc088164afc723c4f3314af3e9	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_complexes/pdbs/4YOW.pdb	4YOW.pdb	.pdb	965844	1659027930.879000	2022-07-28T17:05:30.879000+00:00	af10a75ea2a2c223ddfc605d29cba18dd588dd93e6a2a66c7e27e20d0ec2807e	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_homooligomers/example_6_outputs/parsed_pdbs.jsonl	parsed_pdbs.jsonl	.jsonl	39311	1659027930.902000	2022-07-28T17:05:30.902000+00:00	b9c0c9d6cceffb1031bc676b328055132acf8a7becee6d7436cc000724d5aac9	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_homooligomers/example_6_outputs/seqs/4GYT.fa	4GYT.fa	.fa	1258	1659027930.911000	2022-07-28T17:05:30.911000+00:00	5817de2fee372653a7711eed3002a74f0cf1ee67efa27da992075239f199e811	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_homooligomers/example_6_outputs/seqs/6EHB.fa	6EHB.fa	.fa	3084	1659027930.916000	2022-07-28T17:05:30.916000+00:00	d82f11bc3d23e108c810cf0207040cb6d017e9e065107b14e7b6caa3e04ea353	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_homooligomers/example_6_outputs/tied_pdbs.jsonl	tied_pdbs.jsonl	.jsonl	16243	1659027930.922000	2022-07-28T17:05:30.922000+00:00	40fcf2a15253d14a669afc022db494fe4669b69899ed06b038299f0bec79f4db	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_homooligomers/pdbs/4GYT.pdb	4GYT.pdb	.pdb	524637	1659027930.935000	2022-07-28T17:05:30.935000+00:00	4a5e02d9235d13af82854d7f0e4ca72e00c58351a30645575a104064dc1ff1a2	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_homooligomers/pdbs/6EHB.pdb	6EHB.pdb	.pdb	742527	1659027930.948000	2022-07-28T17:05:30.948000+00:00	b429806793f2cae863eb608f2c1de2f85289f6bc6d3c50bfc103b2042e4a8df1	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_monomers/example_1_outputs/parsed_pdbs.jsonl	parsed_pdbs.jsonl	.jsonl	5372	1659027930.969000	2022-07-28T17:05:30.969000+00:00	a6f9fa05c18ac3060b4f9c4da15c4fb21c7645bb7042000bc81d985a3387b07e	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_monomers/example_1_outputs/seqs/5L33.fa	5L33.fa	.fa	506	1659027931.003000	2022-07-28T17:05:31.003000+00:00	8ad3b666d171db392c7399f42c4296faf00456f20ba64b1ae256552f6bf11b97	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_monomers/example_1_outputs/seqs/6MRR.fa	6MRR.fa	.fa	392	1659027931.009000	2022-07-28T17:05:31.009000+00:00	528bd867e2a5b94124234701e1bc7860bcb43ed01099c75935832f3a68bcb1ae	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
ProteinMPNN/ca_proteinmpnn/PDB_monomers/example_7_outputs/parsed_pdbs.jsonl	parsed_pdbs.jsonl	.jsonl	5372	1659027931.017000	2022-07-28T17:05:31.017000+00:00	a6f9fa05c18ac3060b4f9c4da15c4fb21c7645bb7042000bc81d985a3387b07e	nested_proteinmpnn_source_or_example		File from the copied nested ProteinMPNN checkout or its bundled examples.	no	regular_git_or_source_snapshot_decision	Source files may be tracked as a curated snapshot or represented by a pinned commit plus patch; examples/outputs need separate relevance checks.	0	0	0	0	0	0
