file	path	normalized_path	type	detail	sample
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][10]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.16706231236457825, ""finite_mean"": -5.027159690856934, ""finite_min"": -5.8115715980529785, ""finite_std"": 1.2744983434677124, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][11]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.33369454741477966, ""finite_mean"": -4.894674301147461, ""finite_min"": -6.0734734535217285, ""finite_std"": 1.450583577156067, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][12]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.7532612681388855, ""finite_mean"": -4.0911736488342285, ""finite_min"": -5.538868427276611, ""finite_std"": 1.2972391843795776, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][13]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.4798230528831482, ""finite_mean"": -4.372668266296387, ""finite_min"": -5.807137489318848, ""finite_std"": 1.242506980895996, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['w_n_log_prob'][14]	root[<entry>][<idx>]['w_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.5589213371276855, ""finite_mean"": -3.735316038131714, ""finite_min"": -5.659002780914307, ""finite_std"": 1.2239189147949219, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob']	root[<entry>][<idx>]['m_n_log_prob']	builtins.list	length=15	"[""array([-2.6112404, -5.411194 , -1.828985 , -1.1616613, -5.1193976,\n       -4...."", ""array([-5.507618 , -5.998146 , -5.566068 , -4.5181217, -5.7459455,\n       -5...."", ""array([-3.2740228 , -5.868883  , -4.578233  , -4.061833  , -5.489213  ,\n     ..."", ""array([-1.213369 , -5.5290594, -5.2587495, -0.7440549, -5.443577 ,\n       -5...."", ""array([-5.632651  , -5.478097  , -0.30844572, -5.2268944 , -5.556674  ,\n     ..."", ""array([-3.5275884, -5.3586903, -2.0552354, -4.155568 , -5.284712 ,\n       -5...."", ""array([-1.1505886, -5.351272 , -1.798177 , -1.722797 , -5.2708836,\n       -4...."", ""array([-5.714636  , -5.7453966 , -5.621845  , -5.6253214 , -5.222861  ,\n     ...""]"
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][0]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.1616612672805786, ""finite_mean"": -3.9519765377044678, ""finite_min"": -5.598391532897949, ""finite_std"": 1.3265024423599243, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][1]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.46928671002388, ""finite_mean"": -4.5744404792785645, ""finite_min"": -5.998146057128906, ""finite_std"": 1.4332845211029053, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][2]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.4092003405094147, ""finite_mean"": -4.389125823974609, ""finite_min"": -6.01875114440918, ""finite_std"": 1.3227875232696533, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][3]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.744054913520813, ""finite_mean"": -4.437585353851318, ""finite_min"": -5.805644989013672, ""finite_std"": 1.383099913597107, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][4]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.3084457218647003, ""finite_mean"": -5.059712886810303, ""finite_min"": -5.783102989196777, ""finite_std"": 1.3456525802612305, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][5]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.4604530930519104, ""finite_mean"": -4.51625919342041, ""finite_min"": -5.912092208862305, ""finite_std"": 1.359007477760315, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][6]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.1505886316299438, ""finite_mean"": -4.07181978225708, ""finite_min"": -5.673929691314697, ""finite_std"": 1.3799289464950562, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][7]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.08822154998779297, ""finite_mean"": -5.2471394538879395, ""finite_min"": -6.15499210357666, ""finite_std"": 1.1834431886672974, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][8]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.1673048734664917, ""finite_mean"": -3.782313346862793, ""finite_min"": -5.4591522216796875, ""finite_std"": 1.2100850343704224, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][9]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.3823755979537964, ""finite_mean"": -3.7900612354278564, ""finite_min"": -5.434623718261719, ""finite_std"": 1.251983880996704, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][10]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.153582364320755, ""finite_mean"": -5.050400733947754, ""finite_min"": -5.823634147644043, ""finite_std"": 1.2621541023254395, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][11]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.3221506178379059, ""finite_mean"": -4.887086868286133, ""finite_min"": -6.085391998291016, ""finite_std"": 1.4368118047714233, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][12]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.7074662446975708, ""finite_mean"": -4.1346025466918945, ""finite_min"": -5.5617218017578125, ""finite_std"": 1.3077795505523682, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][13]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -0.5636729001998901, ""finite_mean"": -4.259291648864746, ""finite_min"": -5.73105001449585, ""finite_std"": 1.2317105531692505, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['m_n_log_prob'][14]	root[<entry>][<idx>]['m_n_log_prob'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": -1.5060228109359741, ""finite_mean"": -3.7118258476257324, ""finite_min"": -5.62076997756958, ""finite_std"": 1.2004932165145874, ""nan_count"": 0, ""ndim"": 1, ""shape"": [21], ""size"": 21}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities']	root[<entry>][<idx>]['neighbor_aa_identities']	builtins.list	length=15	"[""'N'"", ""'K'"", ""'K'"", ""'E'"", ""'D'"", ""'S'"", ""'A'"", ""'L'""]"
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][0]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'N'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][1]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'K'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][2]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'K'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][3]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'E'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][4]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'D'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][5]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'S'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][6]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'A'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][7]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'L'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][8]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'N'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][9]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'P'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][10]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'S'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][11]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'K'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][12]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'N'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][13]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'I'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_aa_identities'][14]	root[<entry>][<idx>]['neighbor_aa_identities'][<idx>]	builtins.str	'K'	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center']	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center']	builtins.list	length=15	"[""array([-1.5729472e-02, -2.3230317e-03, -6.7850854e-04,  3.5122689e-03,\n      ..."", ""array([-3.05391825e-03,  3.63161750e-02, -2.32863761e-02,  9.05430969e-03,\n  ..."", ""array([ 1.10738218e-01, -2.08798647e-02, -4.72680442e-02, -2.24205349e-02,\n  ..."", ""array([ 0.01979516,  0.00589739, -0.00431283, -0.01319022, -0.0165968 ,\n     ..."", ""array([-1.35772340e-02, -1.38343805e-02, -8.80274456e-03, -1.16642555e-02,\n  ..."", ""array([-0.00773724, -0.01715143, -0.00028972, -0.01013079, -0.00173749,\n     ..."", ""array([-1.38694355e-02, -2.38126349e-02, -1.08184079e-02, -2.30659498e-03,\n  ..."", ""array([ 0.00019351,  0.01408729, -0.01795494,  0.00295111, -0.02025767,\n     ...""]"
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][0]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.1575266569852829, ""finite_mean"": -0.0006947951624169946, ""finite_min"": -0.1254105120897293, ""finite_std"": 0.03913920745253563, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][1]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.103348508477211, ""finite_mean"": -0.003631907980889082, ""finite_min"": -0.1647624522447586, ""finite_std"": 0.03882517293095589, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][2]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.25270405411720276, ""finite_mean"": 0.013667609542608261, ""finite_min"": -0.20584753155708313, ""finite_std"": 0.07189743965864182, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][3]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.053840868175029755, ""finite_mean"": 0.0005082990392111242, ""finite_min"": -0.07065050303936005, ""finite_std"": 0.0190317090600729, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][4]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.07219046354293823, ""finite_mean"": -0.00405689375475049, ""finite_min"": -0.08847368508577347, ""finite_std"": 0.026024146005511284, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][5]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.05374740809202194, ""finite_mean"": 0.00054215791169554, ""finite_min"": -0.08162805438041687, ""finite_std"": 0.017854908481240273, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][6]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.09776194393634796, ""finite_mean"": -0.0014590906212106347, ""finite_min"": -0.09685663133859634, ""finite_std"": 0.028606262058019638, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][7]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.06545459479093552, ""finite_mean"": -0.0002319682971574366, ""finite_min"": -0.06959876418113708, ""finite_std"": 0.021636636927723885, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][8]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.053436871618032455, ""finite_mean"": -0.00039836240466684103, ""finite_min"": -0.1009054183959961, ""finite_std"": 0.022512804716825485, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][9]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.0350610725581646, ""finite_mean"": 0.0005793110467493534, ""finite_min"": -0.05219368264079094, ""finite_std"": 0.011211124248802662, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][10]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.04866473004221916, ""finite_mean"": -0.00014910497702658176, ""finite_min"": -0.06538741290569305, ""finite_std"": 0.015880228951573372, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][11]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.03651009500026703, ""finite_mean"": 0.0006322877015918493, ""finite_min"": -0.053885117173194885, ""finite_std"": 0.011837661266326904, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
S_921_full_feature_dict.pickle	root['107lA'][0]['neighbor_w_message_vector_coming_from_center'][12]	root[<entry>][<idx>]['neighbor_w_message_vector_coming_from_center'][<idx>]	numpy.ndarray	"{""dtype"": ""float32"", ""finite_max"": 0.051965247839689255, ""finite_mean"": 0.0011155707761645317, ""finite_min"": -0.04785529896616936, ""finite_std"": 0.013752915896475315, ""nan_count"": 0, ""ndim"": 1, ""shape"": [128], ""size"": 128}"	
